,tweet
0,Aksi gerak cepat Erick Thohir menemui Presiden FIFA Gianni Infantino berhasil menyelamatkan sepakbola Indonesia dari sanksi FIFA yang terkait tragedi Kanjuruhan.   @erickthohir  #BangkitBersamaET  https://t.co/DbJDiz6qJp
1,Komnas HAM Mengaku Kantongi Video Sangat Kunci yang Bisa Mengungkap Kasus Tragedi Kanjuruhan  https://t.co/pR9lufU85S  https://t.co/fAqgcVYhIj
2,"12 Jam Diperiksa, Dua Tersangka Tragedi Kanjuruhan Tidak Ditahan  https://t.co/w0eUdpzTZ6"
3,Penggunaan Gas Air Mata dalam Tragedi Kanjuruhan  #bhayangkara  #bhayangkarajayapura  #papuaindonesia  #jayapurahits  #bareskrimpolri  #poldapapua  #indonesiahebat  https://t.co/ufGHK8wXDk
4,Panpel Arema FC Terang-terangan Sebut Nama Ketua PSSI untuk Diseret Jadi Tersangka Tragedi Kanjuruhan | Pagii Jokowi Tunangan Cebong ODGJ planet Bambang Tri Rahmat Banda Neira julio Ribero #IjazahPalsuRajaNgibul #RezimJokowiKinerjaBuruk #AniesPresiden2024   https://t.co/nlBKwBvH8r
5,Bonek Mania Faiz Al Fikry Meninggal di Tragedi Kanjuruhan: Semoga Ini Korban Terakhir setiap Persebaya Bertanding -  https://t.co/tRN9WwMQXc
6,Komnas HAM Klaim Punya Video Kunci Awal Mula dari Tragedi Kanjuruhan | Pagii Jokowi Tunangan Cebong ODGJ planet Bambang Tri Rahmat Banda Neira julio Ribero #IwanBuleOut #IjazahPalsuRajaNgibul #RezimJokowiKinerjaBuruk #AniesPresiden2024 #SaveAniesBaswedan  https://t.co/L4OcxH7kVd
7,"@tempodotco Effect Tragedi Kanjuruhan   Dan effect tragedi kanjuruhan juga akan berpengaruh untuk suara pemilih lari ke anies di jatim bila casenya merugikan korban,kata kawan saya😀✌"
8,"Hayoloh disindir anak yang punya negara xixix  Putra Presiden Joko Widodo, Kaesang Pangarep terlihat menyindir pernyataan polisi soal gas air mata Tragedi Kanjuruhan lewat akun Twitternya.  https://t.co/GTw6z8Wy5O"
9,Deklarasi dukungan terhadap Anies baswedan terlalu terburu-buru dan tidak memiliki empati terhadap tragedi Kanjuruhan 🤬🤬😡 Kepulauan Bangka Belitung  #AniesNasdemOut #TenggelamkanNasdem #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies  https://t.co/hzxXe1r4rE
